timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-04-26,1660.2,1674.4,1654.85,1672.2,1672.2,100304,0.0000,1.0
2023-04-25,1689.0,1689.0,1661.1,1663.6,1663.6,423231,0.0000,1.0
2023-04-24,1675.2,1691.5,1674.55,1688.45,1688.45,137775,0.0000,1.0
2023-04-21,1665.5,1677.0,1662.8,1673.8,1673.8,133438,0.0000,1.0
2023-04-20,1670.55,1677.25,1666.75,1672.0,1672.0,197592,0.0000,1.0
2023-04-19,1664.7,1669.75,1657.7,1665.95,1665.95,65707,0.0000,1.0
2023-04-18,1668.0,1676.9,1656.0,1658.25,1658.25,161423,0.0000,1.0
2023-04-17,1706.0,1715.85,1653.65,1667.05,1667.05,341972,0.0000,1.0
2023-04-13,1686.05,1697.0,1677.7,1693.3,1693.3,165353,0.0000,1.0
2023-04-12,1665.6,1688.0,1665.6,1684.75,1684.75,217356,0.0000,1.0
2023-04-11,1659.3,1668.5,1651.9,1663.7,1663.7,86982,0.0000,1.0
2023-04-10,1665.0,1670.8,1654.5,1658.1,1658.1,163677,0.0000,1.0
2023-04-06,1650.4,1669.0,1648.1,1666.3,1666.3,198558,0.0000,1.0
2023-04-05,1613.0,1656.1,1613.0,1654.1,1654.1,183961,0.0000,1.0
2023-04-04,1610.35,1610.35,1610.35,1610.35,1610.35,0,0.0000,1.0
2023-04-03,1604.3,1615.45,1602.55,1610.35,1610.35,155703,0.0000,1.0
2023-03-31,1588.4,1612.85,1588.4,1609.75,1609.75,260941,0.0000,1.0
2023-03-29,1576.6,1602.0,1576.6,1588.4,1588.4,80574,0.0000,1.0
2023-03-28,1566.0,1582.35,1565.0,1580.15,1580.15,102415,0.0000,1.0
2023-03-27,1560.1,1579.4,1559.0,1565.45,1565.45,128954,0.0000,1.0
2023-03-24,1562.0,1573.55,1554.7,1561.75,1561.75,80834,0.0000,1.0
2023-03-23,1569.9,1590.0,1559.7,1562.65,1562.65,93088,0.0000,1.0
2023-03-22,1581.35,1585.55,1566.15,1575.3,1575.3,57172,0.0000,1.0
2023-03-21,1574.0,1582.1,1556.55,1579.4,1579.4,105900,0.0000,1.0
2023-03-20,1568.0,1568.0,1545.15,1561.1,1561.1,89277,0.0000,1.0
2023-03-17,1560.0,1578.65,1540.45,1572.55,1572.55,83171,0.0000,1.0
2023-03-16,1541.55,1559.15,1532.3,1551.45,1551.45,331063,0.0000,1.0
2023-03-15,1579.45,1580.85,1536.05,1540.75,1540.75,143141,0.0000,1.0
2023-03-14,1564.3,1583.65,1558.9,1564.85,1564.85,212155,0.0000,1.0
2023-03-13,1583.1,1603.7,1565.0,1568.65,1568.65,230761,0.0000,1.0
2023-03-10,1602.15,1613.6,1585.0,1588.65,1588.65,277106,0.0000,1.0
